name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,box_plus_minus,true_shooting_percentage,value_over_replacement_player,win_shares,field_goal_percentage,three_point_field_goal_percentage,free_throw_percentage,no_accents,2019-20,rebounds,ppg
Steven Adams,C,26,OKLAHOMA CITY THUNDER,16,16,420,69,118,0,0,19,41,43,101,45,8,15,22,30,2.7,57.699999999999996,0.5,1.4,58.5,0.0,46.3,Steven Adams,"$25,842,697 ",144,9.8125
Bam Adebayo,C,22,MIAMI HEAT,19,19,609,96,167,1,6,72,110,46,155,80,29,23,53,48,5.5,61.5,1.2,2.5,57.5,16.7,65.5,Bam Adebayo,"$3,454,080 ",201,13.947368421052632
LaMarcus Aldridge,C,34,SAN ANTONIO SPURS,20,20,656,153,296,11,31,60,72,41,93,50,13,36,33,43,1.0,57.49999999999999,0.5,1.7,51.7,35.5,83.3,LaMarcus Aldridge,"$26,000,000 ",134,18.85
Nickeil Alexander-Walker,SG,21,NEW ORLEANS PELICANS,16,0,230,36,112,21,61,10,14,2,34,36,5,2,20,26,-6.7,43.6,-0.3,-0.3,32.1,34.4,71.4,Nickeil Alexander-Walker,"$2,964,840 ",36,6.4375
Grayson Allen,SG,24,MEMPHIS GRIZZLIES,10,0,184,21,68,9,33,15,17,2,25,17,3,0,11,16,-7.4,43.7,-0.3,-0.2,30.9,27.3,88.2,Grayson Allen,"$2,429,400 ",27,6.6
Jarrett Allen,C,21,BROOKLYN NETS,20,17,529,90,135,0,1,51,88,68,141,23,13,25,23,52,2.4,66.5,0.6,2.4,66.7,0.0,58.0,Jarrett Allen,"$2,376,840 ",209,11.55
Al-Farouq Aminu,PF,29,ORLANDO MAGIC,18,2,380,25,86,9,36,19,29,24,63,21,18,8,17,27,-2.0,39.5,0.0,0.2,29.1,25.0,65.5,Al-Farouq Aminu,"$9,258,000 ",87,4.333333333333333
Kyle Anderson,PF,26,MEMPHIS GRIZZLIES,17,0,348,47,93,4,16,16,28,16,59,44,12,12,15,29,0.2,54.1,0.2,0.6,50.5,25.0,57.1,Kyle Anderson,"$9,073,050 ",75,6.705882352941177
Ryan Anderson,PF,31,HOUSTON ROCKETS,2,0,14,2,7,1,5,0,0,0,7,2,1,0,1,1,-4.4,35.699999999999996,0.0,0.0,28.6,20.0,0.0,Ryan Anderson,"$7,779,336 ",7,2.5
Giannis Antetokounmpo,PF,25,MILWAUKEE BUCKS,21,21,669,240,425,31,102,136,233,55,227,121,30,28,83,69,12.6,61.3,2.5,4.2,56.5,30.4,58.4,Giannis Antetokounmpo,"$25,842,697 ",282,30.80952380952381
Thanasis Antetokounmpo,SF,27,MILWAUKEE BUCKS,4,0,25,6,10,0,0,2,4,3,0,4,0,0,2,3,-2.5,59.5,0.0,0.1,60.0,0.0,50.0,Thanasis Antetokounmpo,"$1,445,697 ",3,3.5
OG Anunoby,SF,22,TORONTO RAPTORS,18,18,541,79,149,31,66,13,25,17,84,30,23,16,23,44,3.8,63.1,0.8,1.7,53.0,47.0,52.0,OG Anunoby,"$2,281,800 ",101,11.222222222222221
Ryan Arcidiacono,PG,25,CHICAGO BULLS,21,0,352,30,76,20,46,15,20,10,24,38,12,1,15,44,-2.1,56.00000000000001,0.0,0.6,39.5,43.5,75.0,Ryan Arcidiacono,"$3,000,000 ",34,4.523809523809524
Trevor Ariza,SF,34,SACRAMENTO KINGS,12,0,240,15,46,12,35,6,7,4,35,9,10,0,9,19,-2.9,48.9,-0.1,0.1,32.6,34.3,85.7,Trevor Ariza,"$12,200,000 ",39,4.0
D.J. Augustin,PG,32,ORLANDO MAGIC,19,5,484,58,156,17,60,33,38,7,36,89,12,0,25,20,-3.5,48.1,-0.2,0.7,37.2,28.3,86.8,DJ Augustin,"$7,250,000 ",43,8.736842105263158
